1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. TRI CHEMICAL/COMPOUND ID,37. CAS#,38. SRS ID,39. CLEAN AIR ACT CHEMICAL,40. CLASSIFICATION,41. METAL,42. METAL CATEGORY,43. CARCINOGEN,44. PBT,45. PFAS,46. FORM TYPE,47. UNIT OF MEASURE,48. 5.1 - FUGITIVE AIR,49. 5.2 - STACK AIR,50. 5.3 - WATER,51. 5.4 - UNDERGROUND,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,54. 5.5.1 - LANDFILLS,55. 5.5.1A - RCRA C LANDFILL,56. 5.5.1B - OTHER LANDFILLS,57. 5.5.2 - LAND TREATMENT,58. 5.5.3 - SURFACE IMPNDMNT,59. 5.5.3A - RCRA SURFACE IM,60. 5.5.3B - OTHER SURFACE I,61. 5.5.4 - OTHER DISPOSAL,62. ON-SITE RELEASE TOTAL,63. 6.1 - POTW - TRNS RLSE,64. 6.1 - POTW - TRNS TRT,65. POTW - TOTAL TRANSFERS,66. 6.2 - M10,67. 6.2 - M41,68. 6.2 - M62,69. 6.2 - M40 METAL,70. 6.2 - M61 METAL,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,74. 6.2 - M72,75. 6.2 - M63,76. 6.2 - M66,77. 6.2 - M67,78. 6.2 - M64,79. 6.2 - M65,80. 6.2 - M73,81. 6.2 - M79,82. 6.2 - M90,83. 6.2 - M94,84. 6.2 - M99,85. OFF-SITE RELEASE TOTAL,86. 6.2 - M20,87. 6.2 - M24,88. 6.2 - M26,89. 6.2 - M28,90. 6.2 - M93,91. OFF-SITE RECYCLED TOTAL,92. 6.2 - M56,93. 6.2 - M92,94. OFF-SITE ENERGY RECOVERY T,95. 6.2 - M40 NON-METAL,96. 6.2 - M50,97. 6.2 - M54,98. 6.2 - M61 NON-METAL,99. 6.2 - M69,100. 6.2 - M95,101. OFF-SITE TREATED TOTAL,102. 6.2 - UNCLASSIFIED,103. 6.2 - TOTAL TRANSFER,104. TOTAL RELEASES,105. 8.1 - RELEASES,106. 8.1A - ON-SITE CONTAINED,107. 8.1B - ON-SITE OTHER,108. 8.1C - OFF-SITE CONTAIN,109. 8.1D - OFF-SITE OTHER R,110. 8.2 - ENERGY RECOVER ON,111. 8.3 - ENERGY RECOVER OF,112. 8.4 - RECYCLING ON SITE,113. 8.5 - RECYCLING OFF SIT,114. 8.6 - TREATMENT ON SITE,115. 8.7 - TREATMENT OFF SITE,116. PRODUCTION WSTE (8.1-8.7),117. 8.8 - ONE-TIME RELEASE,118. PROD_RATIO_OR_ ACTIVITY,119. 8.9 - PRODUCTION RATIO
2021,62881RDCBR1015S,110000439883,RADIAC ABRASIVES INC,1015 S COLLEGE AVE,SALEM,MARION,IL,62881,"","",38.618599,-88.952061,NAD83,RADIAC ABRASIVES INC,067361956,RADIAC ABRASIVES INC,NO,327,Nonmetallic Mineral Product,"","","","","","",327910,"","","","","",1321219681160,Naphthalene,NO,0000091203,91-20-3,13326,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,0.000000,5715.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5715.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5715.000000,0.000000,0.000000,5715.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5715.000000,"",PRODUCTION,1.150000
2021,60623BLLCT2001S,110000434664,ABLE ELECTROPOLISHING CO INC,2001 S KILBOURN AVE,CHICAGO,COOK,IL,60623,"","",41.853901,-87.736397,NAD83,NA,"",NA,NO,332,Fabricated Metals,"","","","","","",332813,"","","","","",1321219685649,Nitric acid,NO,0007697372,7697-37-2,152686,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,100.850000,907.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1008.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1008.460000,0.000000,0.000000,1008.460000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99838.000000,0.000000,100846.460000,"",PRODUCTION,0.990000
2021,60623BLLCT2001S,110000434664,ABLE ELECTROPOLISHING CO INC,2001 S KILBOURN AVE,CHICAGO,COOK,IL,60623,"","",41.853901,-87.736397,NAD83,NA,"",NA,NO,332,Fabricated Metals,"","","","","","",332813,"","","","","",1321219685652,Nickel,NO,0007440020,7440-02-0,149674,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,5.000000,0.000000,413.370000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,418.370000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,418.370000,418.370000,0.000000,0.000000,0.000000,1.900000,416.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,418.370000,"",PRODUCTION,1.110000
2021,60623BLLCT2001S,110000434664,ABLE ELECTROPOLISHING CO INC,2001 S KILBOURN AVE,CHICAGO,COOK,IL,60623,"","",41.853901,-87.736397,NAD83,NA,"",NA,NO,332,Fabricated Metals,"","","","","","",332813,"","","","","",1321219685714,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,N090,N090,649475,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,5.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.600000,151.000000,0.000000,151.000000,0.000000,16552.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16703.000000,0.000000,4512.000000,0.000000,0.000000,0.000000,4512.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21215.000000,16708.600000,0.000000,0.000000,5.600000,114.800000,16588.200000,0.000000,0.000000,0.000000,4512.000000,0.000000,0.000000,21220.600000,"",PRODUCTION,0.910000
2021,60089PLXSC2400M,110012152847,PLEXUS MFG SOLUTIONS - CHICAGO,2400 MILLBROOK DR,BUFFALO GROVE,LAKE,IL,60089,"","",42.192258,-87.944644,NAD83,PLEXUS CORP,098544398,PLEXUS CORP,NO,334,Computers and Electronic Products,"","","","","","",334418,"","","","","",1321219696212,Lead  And Lead Compounds,YES,N420,N420,650002,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.000000,3.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.320000,0.005000,0.000000,0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.000000,1203.200000,16.730000,0.000000,0.000000,1219.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1219.935000,3.325000,0.000000,0.000000,3.320000,0.000000,0.005000,0.000000,0.000000,0.000000,1219.930000,0.000000,0.000000,1223.255000,"",PRODUCTION,1.100000
2021,60110MCWHR400EA,110070828351,POLYNT COMPOSITES USA INC. (FORMERLY PCCR USA),99 E COTTAGE AVE,CARPENTERSVILLE,KANE,IL,60110,"","",42.117976,-88.288061,NAD83,NA,"","",NO,325,Chemicals,"","","","","","",325211,"","","","","",1321219707294,Cumene,NO,0000098828,98-82-8,18309,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,18.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.000000,0.000000,0.000000,54.000000,266.000000,0.000000,0.000000,0.000000,0.000000,266.000000,2759.000000,0.000000,2759.000000,0.000000,6.000000,0.000000,0.000000,0.000000,0.000000,6.000000,0.000000,3085.000000,101.000000,0.000000,0.000000,47.000000,0.000000,54.000000,0.000000,2759.000000,0.000000,266.000000,420.000000,6.000000,3552.000000,"",PRODUCTION,1.020000
2021,60110MCWHR400EA,110070828351,POLYNT COMPOSITES USA INC. (FORMERLY PCCR USA),99 E COTTAGE AVE,CARPENTERSVILLE,KANE,IL,60110,"","",42.117976,-88.288061,NAD83,NA,"","",NO,325,Chemicals,"","","","","","",325211,"","","","","",1321219707306,Ethyl acrylate,NO,0000140885,140-88-5,37929,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,24.000000,86.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6450.000000,0.000000,0.000000,0.000000,0.000000,6450.000000,0.000000,6450.000000,110.000000,0.000000,0.000000,110.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4230.000000,6450.000000,10790.000000,"",PRODUCTION,1.020000
2021,60110MCWHR400EA,110070828351,POLYNT COMPOSITES USA INC. (FORMERLY PCCR USA),99 E COTTAGE AVE,CARPENTERSVILLE,KANE,IL,60110,"","",42.117976,-88.288061,NAD83,NA,"","",NO,325,Chemicals,"","","","","","",325211,"","","","","",1321219707318,Ethylbenzene,NO,0000100414,100-41-4,19406,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,286.000000,629.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,915.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,728.000000,0.000000,0.000000,728.000000,4933.000000,0.000000,0.000000,0.000000,0.000000,4933.000000,44819.000000,0.000000,44819.000000,0.000000,82.000000,0.000000,0.000000,0.000000,0.000000,82.000000,0.000000,50562.000000,1643.000000,0.000000,0.000000,915.000000,0.000000,728.000000,0.000000,44819.000000,0.000000,4933.000000,24153.000000,82.000000,75630.000000,"",PRODUCTION,1.020000
2021,60110MCWHR400EA,110070828351,POLYNT COMPOSITES USA INC. (FORMERLY PCCR USA),99 E COTTAGE AVE,CARPENTERSVILLE,KANE,IL,60110,"","",42.117976,-88.288061,NAD83,NA,"","",NO,325,Chemicals,"","","","","","",325211,"","","","","",1321219707320,Ethylene glycol,NO,0000107211,107-21-1,24257,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5504.000000,0.000000,5508.000000,"",PRODUCTION,1.020000
2021,60110MCWHR400EA,110070828351,POLYNT COMPOSITES USA INC. (FORMERLY PCCR USA),99 E COTTAGE AVE,CARPENTERSVILLE,KANE,IL,60110,"","",42.117976,-88.288061,NAD83,NA,"","",NO,325,Chemicals,"","","","","","",325211,"","","","","",1321219707332,Maleic anhydride,NO,0000108316,108-31-6,25015,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,0.000000,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,467.000000,0.000000,476.000000,"",ACTIVITY,1.020000
